mukey,ssurgo_si_ft,ssurgo_si_base,n_components,ssurgo_si_m
2888358,85.5961538461538,,3,26.0897076923077
2760776,85,,2,25.908
1725694,82.875,,3,25.2603
374455,89.4968152866242,,5,27.2786292993631
323155,84.8067632850242,,7,25.8491014492754
1479379,87.8030690537084,,3,26.7623754475703
1151428,45,,7,13.716
323390,87.1938775510204,,7,26.576693877551
323244,59.2857142857143,,2,18.0702857142857
1384099,59.7978723404255,,5,18.2263914893617
1414052,74.4387755102041,,4,22.6889387755102
1478694,74.6261682242991,,8,22.7460560747664
1544179,68.3795811518325,,8,20.8420963350785
328179,88.3793103448276,,2,26.9380137931035
1454437,83.7254901960784,,6,25.5195294117647
1453447,57.0759075907591,,6,17.3967366336634
1413538,64.92,,5,19.787616
1544168,65.2077922077922,,6,19.8753350649351
3045922,62.0512820512821,,4,18.9132307692308
756728,64.7128378378378,,6,19.724472972973
332434,83.2156862745098,,5,25.3641411764706
1148821,84.2291666666667,,5,25.67305
320838,84,,9,25.6032
2888286,86.45,,3,26.34996
1454438,77.6949152542373,,5,23.6814101694915
1416154,69.375,,3,21.1455
328156,80.8333333333333,,3,24.638
328112,78.93,,4,24.057864
1603131,76.25,,6,23.241
2888423,85.9010989010989,,3,26.182654945055
334120,77.4,,2,23.59152
2888397,84.8676470588235,,3,25.8676588235294
1453451,62.6438848920863,,4,19.0938561151079
2888457,90.427135678392,,4,27.5621909547739
328118,76.1960784313726,,2,23.2245647058824
1425030,63.1636363636364,,4,19.2522763636364
1544134,59.7978723404255,,5,18.2263914893617
1421087,75.4103773584906,,5,22.9850830188679
1472724,81.6825396825397,,4,24.8968380952381
323990,81.7029702970297,,8,24.9030653465347
2888384,90.1917808219178,,4,27.4904547945206
1425224,65,,2,19.812
1421141,76.7458745874588,,4,23.3921425742574
322074,85.6925675675676,,6,26.1190945945946
332595,84,,1,25.6032
323423,81.6949152542373,,6,24.9006101694915
323671,74.6,,6,22.73808
797477,69.4295302013423,,4,21.1621208053691
2760796,88.9285714285714,,2,27.1054285714286
1536521,83.2822085889571,,6,25.3844171779141
1023332,77.6148148148148,,5,23.6569955555556
1712910,86.4166666666667,,4,26.3398
575574,73.3,,3,22.34184
3260456,92.8974358974359,,3,28.3151384615385
324001,77.6607142857143,,3,23.6709857142857
1384389,67.6,,5,20.60448
1381570,73.5979381443299,,6,22.4326515463918
1481015,84.85,,3,25.86228
1380318,88.1116751269036,,5,26.8564385786802
332404,84.6129032258065,,4,25.7900129032258
322698,86.4978902953587,,3,26.3645569620253
323401,100,,4,30.48
379686,84.8676470588235,,3,25.8676588235294
323181,60.8859416445623,,7,18.5580350132626
1413675,91.3,,4,27.82824
1413537,61.3133333333333,,6,18.688304
1425202,86.5888888888889,,5,26.3922933333333
328158,77.4074074074074,,2,23.5937777777778
320819,67.1296296296296,,2,20.4611111111111
1148812,80.4090909090909,,2,24.5086909090909
332606,77,,2,23.4696
1414099,87.0481927710843,,10,26.5322891566265
1425199,70.5145631067961,,6,21.4928388349515
3260437,94.5483870967742,,3,28.8183483870968
321802,70.8266666666667,,4,21.587968
1425231,70,,1,21.336
575575,72,,1,21.9456
1488163,73.7777777777778,,3,22.4874666666667
1481019,73.5979381443299,,6,22.4326515463918
1472760,90.2327044025157,,3,27.5029283018868
2760765,85.4666666666667,,3,26.05024
322756,88.0588235294118,,4,26.8403294117647
1544155,64.1358024691358,,8,19.5485925925926
1425312,79.4444444444445,,3,24.2146666666667
1472756,89.3131313131313,,5,27.2226424242424
1384405,71.3432835820896,,3,21.7454328358209
323124,90.6081081081081,,3,27.6173513513514
379701,87.8030690537084,,3,26.7623754475703
1544160,84.8067632850242,,7,25.8491014492754
2888294,91.9259259259259,,5,28.0190222222222
3121722,82.6016483516484,,5,25.1769824175824
1425263,77.8,,3,23.71344
797476,84.5983935742972,,5,25.7855903614458
2822040,53.7606837606838,,5,16.3862564102564
2727034,73.3333333333333,,4,22.352
808489,104.655172413793,,3,31.8988965517241
323638,80.893470790378,,6,24.6563298969072
322738,83.4154929577465,,3,25.4250422535211
321817,73.3691275167785,,5,22.3629100671141
379706,85.7142857142857,,3,26.1257142857143
2888390,90.5714285714286,,2,27.6061714285714
1472745,66.0731707317073,,3,20.1391024390244
1542274,75,,3,22.86
1544165,74.8743718592965,,5,22.8217085427136
2888507,102.08,,2,31.113984
1399039,75.5329949238579,,7,23.0224568527919
332444,73.4017857142857,,4,22.3728642857143
2760799,85.4666666666667,,3,26.05024
1414611,80.8269230769231,,5,24.6360461538462
1413684,84.5,,2,25.7556
1425020,58.2051282051282,,4,17.7409230769231
1425009,64.7166666666667,,7,19.72564
1451683,92.0298507462686,,4,28.0506985074627
332391,84.9802631578947,,4,25.9019842105263
1384414,83.743842364532,,6,25.5251231527094
1721641,89.5,,1,27.2796
1454455,76.5833333333333,,4,23.3426
1414506,98.1290322580645,,3,29.9097290322581
2994988,86.6666666666667,,1,26.416
575957,87.5138121546961,,2,26.6742099447514
367378,77.5,,1,23.622
373835,78.1666666666667,,2,23.8252
1414082,50.5714285714286,,4,15.4141714285714
2888393,99.6190476190476,,2,30.3638857142857
2888333,104.636363636364,,3,31.8931636363636
1413518,83.743842364532,,6,25.5251231527094
320746,82.34375,,6,25.098375
1425249,70,,5,21.336
332446,83.5636363636364,,3,25.4701963636364
132854,74.8989898989899,,4,22.8292121212121
640597,57.0394736842105,,4,17.3856315789474
328154,74.3584905660377,,2,22.6644679245283
1472765,78.4545454545455,,4,23.9129454545455
575614,76,,4,23.1648
797480,87.5826086956522,,4,26.6951791304348
1586105,93,,1,28.3464
2888299,88.6538461538462,,3,27.0216923076923
