plot_key,SI_gada_plot,SI_gada_n,n_species
45.5926_-121.4886,24.1193369754825,48,1
46.6992_-113.7486,13.993347739222,4,1
48.0351_-116.2029,19.6684351678692,2,1
48.2613_-117.5787,28.7095795944675,7,1
46.8119_-109.6277,17.7462950587518,5,1
39.3883_-105.2935,13.1260135224192,4,1
43.2113_-122.1554,28.743364327856,6,1
42.5969_-106.1658,12.2962369501297,4,2
40.8303_-121.7143,23.4588853747728,11,1
44.5374_-109.9585,12.4173285015744,2,1
47.7426_-117.2204,27.7312190061221,7,1
45.8897_-114.553,25.4598012880155,4,1
42.6909_-124.367,32.5479443456422,42,1
46.0078_-122.2764,21.8058819994977,9,1
44.6337_-114.7243,11.1396913535839,3,1
43.1924_-122.5272,18.9000071134143,14,1
45.0794_-118.1036,21.3606387532495,4,1
45.3816_-116.429,19.0194845576594,5,1
43.8097_-122.5504,38.3059984043471,10,1
40.5141_-123.5323,44.0023213301895,6,1
40.9547_-122.7526,25.2333568602849,5,1
44.9721_-111.1275,14.0498418755449,5,1
33.9811_-109.6323,16.3082702917871,3,2
45.6808_-122.9962,37.4465204070154,25,1
44.2709_-119.4026,27.2251421440011,6,1
42.9695_-122.8706,21.6637543380801,13,1
34.2524_-110.4023,17.3484510016714,2,1
44.1684_-122.3424,33.9697374138584,19,1
48.533_-120.5601,10.1873593927589,2,1
43.2415_-123.0278,17.7936697573893,10,1
42.9434_-122.9953,18.7413677297188,5,1
46.9068_-122.252,31.7330103102905,36,1
42.5471_-124.1316,37.4506039171203,9,1
45.2812_-121.6445,23.7353594984257,12,1
48.2547_-121.3767,46.7381461686256,6,1
37.4962_-105.2262,14.5293041730409,6,2
45.4992_-121.5278,32.3746270615283,12,1
42.0558_-124.1518,44.322783671528,10,1
47.2915_-121.1954,33.2028410659472,6,1
46.4457_-122.6404,30.5272929834879,3,1
43.0006_-122.6674,33.303781688917,18,1
45.1576_-121.6083,23.5454169077156,6,1
45.9192_-117.5269,27.2376638492641,12,1
43.9259_-107.0137,11.665237461687,1,1
47.0475_-121.2312,24.0882591305401,12,1
42.3735_-124.2634,25.2480171607648,10,1
48.3932_-117.0706,33.2611555417131,12,1
45.7932_-114.1575,29.7978339944926,9,1
42.4087_-123.1888,23.8079985540628,6,1
48.8279_-118.9307,21.858256441996,6,1
48.3574_-118.7066,16.0739265966594,6,1
45.2106_-122.2321,40.3660444726521,16,1
